country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%
Ethiopia,30.0,12.04297915189422,Africa,East Africa,27.809,-15.76602084810578,2.038690749476721
Ethiopia,40.0,8.967809187573568,Africa,East Africa,27.809,-18.841190812426433,2.436338362639836
Ethiopia,50.0,5.432107216723453,Africa,East Africa,27.809,-22.37689278327655,2.893536977961011
Fed States of Micronesia,10.0,0.0039021389510254,Asia and the Pacific,Pacific Region,0.064,-0.060097861048974605,1467.2329357659814
Fed States of Micronesia,20.0,0.003831921493743,Asia and the Pacific,Pacific Region,0.064,-0.060168078506257,1468.947229156665
Fed States of Micronesia,30.0,0.0037332453725715,Asia and the Pacific,Pacific Region,0.064,-0.060266754627428504,1471.3563141462037
Fed States of Micronesia,40.0,0.0036539282340945,Asia and the Pacific,Pacific Region,0.064,-0.0603460717659055,1473.2927677223022
Fed States of Micronesia,50.0,0.0035969262407921,Asia and the Pacific,Pacific Region,0.064,-0.0604030737592079,1474.6844179494115
Fiji,10.0,1.6311965067324117,Asia and the Pacific,Pacific Region,1.006,0.6251965067324117,61.776113372687504
Fiji,20.0,1.5856425397591594,Asia and the Pacific,Pacific Region,1.006,0.5796425397591594,57.27489335944169
Fiji,30.0,1.5406702383927635,Asia and the Pacific,Pacific Region,1.006,0.5346702383927635,52.831148140260176
Fiji,40.0,1.4697082038774028,Asia and the Pacific,Pacific Region,1.006,0.46370820387740275,45.81933882563493
Fiji,50.0,1.386843127583253,Asia and the Pacific,Pacific Region,1.006,0.3808431275832529,37.631381451178896
Finland,10.0,22.63564851102299,Europe,Western Europe,22.446,0.18964851102298752,0.03764189857195529
Finland,20.0,22.013805049406223,Europe,Western Europe,22.446,-0.43219495059377877,0.08578310689499855
Finland,30.0,21.464044639455707,Europe,Western Europe,22.446,-0.9819553605442941,0.19490089262718133
Finland,40.0,20.523649969392626,Europe,Western Europe,22.446,-1.922350030607376,0.38155271813943764
Finland,50.0,18.158943927625245,Europe,Western Europe,22.446,-4.287056072374757,0.8509053352338496
France,10.0,18.408277294672303,Europe,Western Europe,15.288,3.1202772946723023,1.335032513826414
France,20.0,17.663135287974836,Europe,Western Europe,15.288,2.3751352879748353,1.0162182827779354
France,30.0,16.81057883194899,Europe,Western Europe,15.288,1.5225788319489908,0.6514460266036144
France,40.0,16.247884778822783,Europe,Western Europe,15.288,0.9598847788227829,0.4106934314599352
France,50.0,15.28956830589337,Europe,Western Europe,15.288,0.0015683058933699812,0.0006710106703815869
Gabon,10.0,25.76152717455369,Africa,Central Africa,23.702,2.05952717455369,0.3666042868887727
Gabon,20.0,25.08852464275288,Africa,Central Africa,23.702,1.3865246427528781,0.24680707503666796
Gabon,30.0,24.55381792019013,Africa,Central Africa,23.702,0.851817920190129,0.15162708462832128
Gabon,40.0,24.36545746143841,Africa,Central Africa,23.702,0.6634574614384086,0.11809815016612811
Gabon,50.0,24.06642894065651,Africa,Central Africa,23.702,0.3644289406565093,0.06486984661416888
"Gambia, The",10.0,0.4649832556191667,Africa,West Africa,0.358,0.10698325561916672,83.47371775160475
"Gambia, The",20.0,0.0781685625333358,Africa,West Africa,0.358,-0.27983143746666417,218.33856423540482
"Gambia, The",30.0,0.0045776946902747,Africa,West Africa,0.358,-0.3534223053097253,275.75786126347907
"Gambia, The",40.0,0.000571059000236937,Africa,West Africa,0.358,-0.357428940999763,278.88403997984074
"Gambia, The",50.0,3.648192939453125e-05,Africa,West Africa,0.358,-0.35796351807060545,279.301143902036
Georgia,10.0,3.37125693900402,Europe,Eastern Europe,3.039,0.33225693900402,3.5975982189204045
Georgia,20.0,3.2605039345103477,Europe,Eastern Europe,3.039,0.22150393451034756,2.3983913253009503
Georgia,30.0,3.1482027505070915,Europe,Eastern Europe,3.039,0.10920275050709138,1.1824211163299978
Georgia,40.0,3.0756966479139227,Europe,Eastern Europe,3.039,0.036696647913922575,0.39734247709384857
Georgia,50.0,2.957247600639446,Europe,Eastern Europe,3.039,-0.08175239936055423,0.8851953166535405
Germany,10.0,13.50044515546396,Europe,Western Europe,11.354,2.1464451554639616,1.6650298216391874
Germany,20.0,12.960882558746452,Europe,Western Europe,11.354,1.6068825587464524,1.2464829922972833
Germany,30.0,12.54438342491044,Europe,Western Europe,11.354,1.19038342491044,0.9233983438223249
Germany,40.0,12.252907088037942,Europe,Western Europe,11.354,0.8989070880379426,0.6972957611593381
Germany,50.0,11.71529854894616,Europe,Western Europe,11.354,0.3612985489461611,0.28026472373587935
Ghana,10.0,18.47719098134672,Africa,West Africa,6.163,12.31419098134672,32.420637428044216
Ghana,20.0,9.723525591484702,Africa,West Africa,6.163,3.5605255914847014,9.374104188383626
Ghana,30.0,6.960560269821585,Africa,West Africa,6.163,0.7975602698215845,2.0998060184438403
Ghana,40.0,6.176927153910162,Africa,West Africa,6.163,0.01392715391016175,0.036667224668667744
Ghana,50.0,4.259902962299736,Africa,West Africa,6.163,-1.903097037700264,5.0104484446543465
Greece,10.0,4.791333374720248,Europe,Western Europe,3.709,1.0823333747202475,7.8676926121951025
Greece,20.0,4.330438647469004,Europe,Western Europe,3.709,0.6214386474690037,4.5173588561732565
Greece,30.0,3.66215163834696,Europe,Western Europe,3.709,-0.04684836165304018,0.3405498873822849
Greece,40.0,3.3263476021856624,Europe,Western Europe,3.709,-0.3826523978143377,2.7815749875594094
Greece,50.0,2.953515003875569,Europe,Western Europe,3.709,-0.755484996124431,5.49176793533579
Grenada,10.0,0.0285255783541595,Americas,Caribbean,0.018,0.010525578354159501,3248.635294493674
Grenada,20.0,0.0279859827359031,Americas,Caribbean,0.018,0.0099859827359031,3082.09343700713
Grenada,30.0,0.0276196525561621,Americas,Caribbean,0.018,0.009619652556162102,2969.0285667166986
Grenada,40.0,0.0272706412985835,Americas,Caribbean,0.018,0.009270641298583501,2861.3090427726856
Grenada,50.0,0.0267900661533445,Americas,Caribbean,0.018,0.008790066153344503,2712.983380661884
Guatemala,10.0,8.27427034077531,Americas,Central America and Mexico,4.227,4.0472703407753094,22.651539229488918
Guatemala,20.0,7.967822746476242,Americas,Central America and Mexico,4.227,3.7408227464762414,20.936430249959244
Guatemala,30.0,7.692366573224124,Americas,Central America and Mexico,4.227,3.4653665732241237,19.394772344984712
Guatemala,40.0,7.442226544180944,Americas,Central America and Mexico,4.227,3.2152265441809433,17.994802438439823
Guatemala,50.0,6.947300565383201,Americas,Central America and Mexico,4.227,2.7203005653832006,15.22482804076154
Guinea,10.0,22.58437737167438,Africa,West Africa,6.532,16.05237737167438,37.622444376890165
Guinea,20.0,14.837502436329634,Africa,West Africa,6.532,8.305502436329634,19.465858308584245
Guinea,30.0,8.11818536019128,Africa,West Africa,6.532,1.5861853601912799,3.717590803125336
Guinea,40.0,5.190689637635946,Africa,West Africa,6.532,-1.3413103623640543,3.1436698335558964
Guinea,50.0,2.1403491944848456,Africa,West Africa,6.532,-4.391650805515154,10.292845372846147
Guinea-Bissau,10.0,2.9184107806012283,Africa,West Africa,2.207,0.7114107806012284,14.605478030651916
Guinea-Bissau,20.0,2.1622802136820445,Africa,West Africa,2.207,-0.04471978631795537,0.9181107096104884
Guinea-Bissau,30.0,1.0563585266454052,Africa,West Africa,2.207,-1.1506414733545947,23.62301671340242
Guinea-Bissau,40.0,0.7295235099524018,Africa,West Africa,2.207,-1.477476490047598,30.333038245439315
Guinea-Bissau,50.0,0.3034384728297746,Africa,West Africa,2.207,-1.9035615271702253,39.0806926507109
Guyana,10.0,19.14907212625884,Americas,Caribbean,18.564,0.5850721262588401,0.16977208746906353
Guyana,20.0,19.115113554315855,Americas,Caribbean,18.564,0.5511135543158545,0.15991822947877796
Guyana,30.0,19.078828022489,Americas,Caribbean,18.564,0.5148280224889987,0.14938915074354336
Guyana,40.0,19.03775273124713,Americas,Caribbean,18.564,0.47375273124713146,0.137470213531268
Guyana,50.0,18.98073655210052,Americas,Caribbean,18.564,0.4167365521005202,0.12092566232332362
Haiti,10.0,1.0705602951213262,Americas,Caribbean,0.384,0.6865602951213262,465.6034987530695
Haiti,20.0,0.9522538650747844,Americas,Caribbean,0.384,0.5682538650747844,385.3718160500653
Haiti,30.0,0.8594662944964381,Americas,Caribbean,0.384,0.47546629449643807,322.4462175133179
Haiti,40.0,0.7749265063681186,Americas,Caribbean,0.384,0.39092650636811854,265.1140044271637
Haiti,50.0,0.6560014781833147,Americas,Caribbean,0.384,0.27200147818331466,184.46280801277305
Honduras,10.0,8.442419309895413,Americas,Central America and Mexico,7.129,1.3134193098954139,2.5843192798568144
Honduras,20.0,8.073086124847872,Americas,Central America and Mexico,7.129,0.9440861248478729,1.8576093376333456
Honduras,30.0,7.732540993535224,Americas,Central America and Mexico,7.129,0.6035409935352245,1.1875435468519329
Honduras,40.0,7.419143306043069,Americas,Central America and Mexico,7.129,0.2901433060430696,0.5708937991692907
Honduras,50.0,6.694701501964687,Americas,Central America and Mexico,7.129,-0.4342984980353126,0.8545374452998472
Hungary,10.0,2.2347429970088983,Europe,Eastern Europe,1.921,0.3137429970088983,8.501964966756868
Hungary,20.0,2.1216155708537823,Europe,Eastern Europe,1.921,0.20061557085378223,5.436381278452606
Hungary,30.0,1.9932662315639895,Europe,Eastern Europe,1.921,0.07226623156398948,1.9583065594900029
Hungary,40.0,1.913163808527256,Europe,Eastern Europe,1.921,-0.007836191472744058,0.21234904367340937
Hungary,50.0,1.8017408729037356,Europe,Eastern Europe,1.921,-0.1192591270962644,3.231743593338874
Iceland,10.0,0.0,Europe,Western Europe,0.032,-0.032,3125.0
Iceland,20.0,0.0,Europe,Western Europe,0.032,-0.032,3125.0
Iceland,30.0,0.0,Europe,Western Europe,0.032,-0.032,3125.0
Iceland,40.0,0.0,Europe,Western Europe,0.032,-0.032,3125.0
Iceland,50.0,0.0,Europe,Western Europe,0.032,-0.032,3125.0
India,10.0,49.36501844922756,Asia and the Pacific,South Asia,67.591,-18.22598155077243,0.3989451435553213
India,20.0,44.01924380000487,Asia and the Pacific,South Asia,67.591,-23.57175619999512,0.5159578174081684
India,30.0,38.86934601698488,Asia and the Pacific,South Asia,67.591,-28.721653983015116,0.6286829787180717
India,40.0,35.59780396096118,Asia and the Pacific,South Asia,67.591,-31.993196039038814,0.7002931584799583
India,50.0,30.41001816392262,Asia and the Pacific,South Asia,67.591,-37.18098183607738,0.8138476435302352
Indonesia,10.0,163.62522511761702,Asia and the Pacific,Southeast Asia,91.959,71.66622511761702,0.8474733490198496
Indonesia,20.0,161.51622291446608,Asia and the Pacific,Southeast Asia,91.959,69.55722291446608,0.8225338024306266
Indonesia,30.0,159.16298163850212,Asia and the Pacific,Southeast Asia,91.959,67.20398163850211,0.7947060598375164
