country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,GLC_Mha,deviation_GLC_Mha,deviation_GLC_%
Belarus,40,8.923199022213044,Europe,Eastern Europe,8.273,0.6501990222130445,7.859289522700888,9.86750366728416,-0.9443046450711154,9.569843365774164
Belarus,50,8.413156029549095,Europe,Eastern Europe,8.273,0.1401560295490949,1.6941379130798369,9.86750366728416,-1.454347637735065,14.738759536081798
Belgium,10,0.9787014647237912,Europe,Western Europe,0.667,0.3117014647237911,46.73185378167783,0.913844807036864,0.06485665768692717,7.097119465746539
Belgium,20,0.916358826555466,Europe,Western Europe,0.667,0.24935882655546593,37.385131417611085,0.913844807036864,0.002514019518601973,0.2751035514174081
Belgium,30,0.8662559293441341,Europe,Western Europe,0.667,0.19925592934413405,29.873452675282465,0.913844807036864,-0.0475888776927299,5.20754479603999
Belgium,40,0.8343529540926294,Europe,Western Europe,0.667,0.1673529540926294,25.09039791493694,0.913844807036864,-0.07949185294423455,8.69861625651585
Belgium,50,0.7779168288692296,Europe,Western Europe,0.667,0.1109168288692296,16.62920972552168,0.913844807036864,-0.13592797816763436,14.874295626669912
Belize,10,1.783887076284156,Americas,Caribbean,1.504,0.2798870762841561,18.609513050808253,1.6622949732085406,0.12159210307561552,7.314712793778109
Belize,20,1.7691417052870173,Americas,Caribbean,1.504,0.2651417052870173,17.629102745147428,1.6622949732085406,0.10684673207847672,6.4276637901540745
Belize,30,1.7553250558454216,Americas,Caribbean,1.504,0.25132505584542164,16.710442542913672,1.6622949732085406,0.09303008263688106,5.596484627353206
Belize,40,1.7413527428965745,Americas,Caribbean,1.504,0.2373527428965745,15.781432373442453,1.6622949732085406,0.07905776968803391,4.755941091215455
Belize,50,1.7170894811355706,Americas,Caribbean,1.504,0.21308948113557058,14.16818358614166,1.6622949732085406,0.05479450792703,3.2963167674908105
Benin,10,8.978525507417544,Africa,West Africa,5.674,3.3045255074175435,58.23978687729191,7.932238465154265,1.0462870422632786,13.190312505852415
Benin,20,1.70462332633696,Africa,West Africa,5.674,-3.9693766736630405,69.95729068845682,7.932238465154265,-6.227615138817305,78.51018556961891
Benin,30,0.1693673293166799,Africa,West Africa,5.674,-5.50463267068332,97.01502768211702,7.932238465154265,-7.762871135837585,97.86482302491663
Benin,40,0.046730542324744,Africa,West Africa,5.674,-5.627269457675256,99.17640919413563,7.932238465154265,-7.885507922829521,99.41087824666356
Benin,50,0.0090377058268265,Africa,West Africa,5.674,-5.664962294173174,99.840717204321,7.932238465154265,-7.923200759327439,99.88606361411689
Bhutan,10,2.6781579133981985,Asia and the Pacific,South Asia,2.606,0.07215791339819866,2.768914558641545,3.2174338312903585,-0.53927591789216,16.761056984220318
Bhutan,20,2.627216930801524,Asia and the Pacific,South Asia,2.606,0.021216930801524203,0.8141569762672373,3.2174338312903585,-0.5902169004888345,18.344336867127637
Bhutan,30,2.5759412420343875,Asia and the Pacific,South Asia,2.606,-0.030058757965612415,1.1534442811056185,3.2174338312903585,-0.6414925892559711,19.93801964215373
Bhutan,40,2.5158717009673084,Asia and the Pacific,South Asia,2.606,-0.09012829903269148,3.458491904554547,3.2174338312903585,-0.7015621303230501,21.80502124084669
Bhutan,50,2.365790468208461,Asia and the Pacific,South Asia,2.606,-0.24020953179153892,9.217556860765116,3.2174338312903585,-0.8516433630818976,26.469646548732417
Bolivia,10,66.52514088740632,Americas,South America,59.086,7.4391408874063245,12.590361316396988,65.91919085340122,0.6059500340051045,0.9192316018451847
Bolivia,20,65.59842485121241,Americas,South America,59.086,6.512424851212415,11.021942340338516,65.91919085340122,-0.3207660021888046,0.4866048840043583
Bolivia,30,64.56653764980942,Americas,South America,59.086,5.4805376498094205,9.275526604964663,65.91919085340122,-1.3526532035917995,2.0519869647671913
Bolivia,40,62.90135141488771,Americas,South America,59.086,3.815351414887715,6.457284999640719,65.91919085340122,-3.017839438513505,4.57808932337311
Bolivia,50,57.50813126590632,Americas,South America,59.086,-1.577868734093677,2.670461249862365,65.91919085340122,-8.411059587494897,12.759652354047232
Bosnia & Herzegovina,10,2.9120025212667047,Europe,Eastern Europe,2.112,0.8000025212667046,37.878907256946235,3.661466190455748,-0.7494636691890433,20.468949601191223
Bosnia & Herzegovina,20,2.7888592481574084,Europe,Eastern Europe,2.112,0.6768592481574083,32.048259855937886,3.661466190455748,-0.8726069422983396,23.8321726026842
Bosnia & Herzegovina,30,2.670646623370591,Europe,Eastern Europe,2.112,0.5586466233705911,26.45107118231965,3.661466190455748,-0.9908195670851567,27.060732382778824
