country,threshold,area_Mha,region,subregion,FAO_2000_Mha,deviation_Mha,deviation_%,bin,estimation
Marshall Is,10,0.0,Asia and the Pacific,Pacific Region,0.009,-0.009,100.0,Low (< 4 Mha),overestimated
Marshall Is,20,0.0,Asia and the Pacific,Pacific Region,0.009,-0.009,100.0,Low (< 4 Mha),overestimated
Marshall Is,30,0.0,Asia and the Pacific,Pacific Region,0.009,-0.009,100.0,Low (< 4 Mha),overestimated
Marshall Is,40,0.0,Asia and the Pacific,Pacific Region,0.009,-0.009,100.0,Low (< 4 Mha),overestimated
Marshall Is,50,0.0,Asia and the Pacific,Pacific Region,0.009,-0.009,100.0,Low (< 4 Mha),overestimated
Mauritania,10,6.502349122867359e-05,Africa,West Africa,0.953,-0.9529349765087712,99.99317696839152,Low (< 4 Mha),overestimated
Mauritania,20,3.922913738403317e-05,Africa,West Africa,0.953,-0.9529607708626159,99.99588361622412,Low (< 4 Mha),overestimated
Mauritania,30,3.3233370434570366e-05,Africa,West Africa,0.953,-0.9529667666295654,99.99651276280855,Low (< 4 Mha),overestimated
Mauritania,40,3.160563289184577e-05,Africa,West Africa,0.953,-0.9529683943671081,99.9966835642296,Low (< 4 Mha),overestimated
Mauritania,50,1.5590537164306655e-05,Africa,West Africa,0.953,-0.9529844094628357,99.99836405696072,Low (< 4 Mha),overestimated
Mauritius,10,0.1483663027360154,Africa,Indian Ocean Islands,0.042,0.10636630273601538,253.25310175241756,Low (< 4 Mha),underestimated
Mauritius,20,0.1113851022159351,Africa,Indian Ocean Islands,0.042,0.06938510221593511,165.202624323655,Low (< 4 Mha),underestimated
Mauritius,30,0.0707524584624692,Africa,Indian Ocean Islands,0.042,0.028752458462469203,68.45823443445049,Low (< 4 Mha),underestimated
Mauritius,40,0.062983202522243,Africa,Indian Ocean Islands,0.042,0.020983202522242998,49.96000600534047,Low (< 4 Mha),underestimated
Mauritius,50,0.0505774442293272,Africa,Indian Ocean Islands,0.042,0.0085774442293272,20.422486260302854,Low (< 4 Mha),underestimated
Mexico,10,64.01881448003545,Americas,Central America and Mexico,69.594,-5.575185519964549,8.011014627646851,High (> 37 Mha),overestimated
Mexico,20,58.29852276623982,Americas,Central America and Mexico,69.594,-11.295477233760174,16.23053314044339,High (> 37 Mha),overestimated
Mexico,30,53.57507147564943,Americas,Central America and Mexico,69.594,-16.018928524350564,23.01768618609444,High (> 37 Mha),overestimated
Mexico,40,49.25962782683796,Americas,Central America and Mexico,69.594,-20.33437217316203,29.218570815245613,High (> 37 Mha),overestimated
Mexico,50,42.33920822920575,Americas,Central America and Mexico,69.594,-27.25479177079424,39.1625596614568,High (> 37 Mha),overestimated
Moldova,10,0.4517069585082872,Europe,Eastern Europe,0.344,0.10770695850828721,31.31016235706024,Low (< 4 Mha),mixed
Moldova,20,0.4041510567475589,Europe,Eastern Europe,0.344,0.06015105674755894,17.485772310336902,Low (< 4 Mha),mixed
Moldova,30,0.3577647259747201,Europe,Eastern Europe,0.344,0.013764725974720116,4.001373829860499,Low (< 4 Mha),mixed
Moldova,40,0.3338303831056318,Europe,Eastern Europe,0.344,-0.010169616894368183,2.956283980920984,Low (< 4 Mha),mixed
Moldova,50,0.3166358388779686,Europe,Eastern Europe,0.344,-0.027364161122031383,7.954698000590519,Low (< 4 Mha),mixed
Monaco,10,2.444715686513864e-06,Europe,Western Europe,0.0,2.444715686513864e-06,,,underestimated
Monaco,20,1.364498686738855e-06,Europe,Western Europe,0.0,1.364498686738855e-06,,,underestimated
Monaco,30,4.550902282714844e-07,Europe,Western Europe,0.0,4.550902282714844e-07,,,underestimated
Monaco,40,2.6005205078125e-07,Europe,Western Europe,0.0,2.6005205078125e-07,,,underestimated
Monaco,50,6.50130126953125e-08,Europe,Western Europe,0.0,6.50130126953125e-08,,,underestimated
Mongolia,10,6.189697570230051,Asia and the Pacific,East Asia,14.264,-8.074302429769947,56.60615836911068,Medium (4-37 Mha),overestimated
Mongolia,20,4.882968495700333,Asia and the Pacific,East Asia,14.264,-9.381031504299667,65.76718665381146,Medium (4-37 Mha),overestimated
Mongolia,30,4.079915413363054,Asia and the Pacific,East Asia,14.264,-10.184084586636946,71.3971157223566,Medium (4-37 Mha),overestimated
Mongolia,40,3.380775927557292,Asia and the Pacific,East Asia,14.264,-10.883224072442708,76.29854229138186,Medium (4-37 Mha),overestimated
Mongolia,50,1.8545467182621795,Asia and the Pacific,East Asia,14.264,-12.40945328173782,86.99841055621019,Medium (4-37 Mha),overestimated
Montenegro,10,0.7208381842081095,Europe,Eastern Europe,0.626,0.09483818420810952,15.149869681806633,Low (< 4 Mha),mixed
Montenegro,20,0.6820615488855232,Europe,Eastern Europe,0.626,0.05606154888552317,8.955518991297632,Low (< 4 Mha),mixed
Montenegro,30,0.6429577115991434,Europe,Eastern Europe,0.626,0.016957711599143388,2.7088996164765797,Low (< 4 Mha),mixed
Montenegro,40,0.6098933212660117,Europe,Eastern Europe,0.626,-0.0161066787339883,2.5729518744390254,Low (< 4 Mha),mixed
Montenegro,50,0.5727948011197137,Europe,Eastern Europe,0.626,-0.0532051988802863,8.499233047969057,Low (< 4 Mha),mixed
Morocco,10,1.1332436673503987,Near East,South/East Mediterranean,5.699,-4.565756332649601,80.11504356289876,Medium (4-37 Mha),overestimated
Morocco,20,0.847245037284987,Near East,South/East Mediterranean,5.699,-4.851754962715013,85.13344380970369,Medium (4-37 Mha),overestimated
Morocco,30,0.6819317180626135,Near East,South/East Mediterranean,5.699,-5.017068281937386,88.03418638247739,Medium (4-37 Mha),overestimated
Morocco,40,0.5911391165653687,Near East,South/East Mediterranean,5.699,-5.107860883434631,89.62731853719303,Medium (4-37 Mha),overestimated
Morocco,50,0.4405421561842217,Near East,South/East Mediterranean,5.699,-5.258457843815778,92.26983407292118,Medium (4-37 Mha),overestimated
Mozambique,10,71.04642130938718,Africa,Southern Africa,38.919,32.12742130938719,82.54945221970551,High (> 37 Mha),mixed
Mozambique,20,46.92151543415912,Africa,Southern Africa,38.919,8.002515434159122,20.561975986431108,High (> 37 Mha),mixed
