country_na,threshold,sum
Czechia,20,3.169584913915568
Slovakia,20,2.4360241525003192
Hungary,20,2.1216155708537823
Slovenia,20,1.3358260237981574
Austria,20,4.430324522332322
Switzerland,20,1.5935227711562998
Liechtenstein,20,0.009257979573929712
Luxembourg,20,0.10457430357938807
Netherlands,20,0.6653313614364279
Belgium,20,0.9163588265554661
United Kingdom,20,4.011652727253108
Ireland,20,0.9360040852159915
Iceland,20,0.0
Russia,20,219.75944696926678
Russia,20,163.31112107676344
Mongolia,20,4.882968495700333
Russia,20,114.24550368068266
Russia,20,131.34901341728477
Maldives,20,0.0010194564857931238
Bhutan,20,2.6272169308015236
Afghanistan,20,0.2876565348574036
Pakistan,20,1.265000708982306
Nepal,20,5.392389898701853
Sri Lanka,20,4.130656432796647
India,20,44.01924380000487
Bangladesh,20,2.197522395478738
Palau,20,0.039326665004753646
Nauru,20,0.0
Tuvalu,20,0.0
Cook Is,20,0.0
Tonga,20,0.0
Niue,20,0.0
Samoa,20,0.0
Marshall Is,20,0.0
Kiribati,20,0.0
Fed States of Micronesia,20,0.0038319214937430823
Papua New Guinea,20,42.95173351312185
Solomon Is,20,2.5612764254098677
New Zealand,20,11.303871448610867
Fiji,20,1.5856425397591594
Vanuatu,20,1.0532819449775566
Indonesia,20,161.51622291446608
Singapore,20,0.019481902707259437
Brunei,20,0.5388729714763454
Philippines,20,18.752022385596845
Timor-Leste,20,0.8031685847114507
Malaysia,20,29.454240161655758
Thailand,20,20.93791099984777
Burma,20,43.787527452130284
Laos,20,19.470140973974924
Cambodia,20,9.484213064101096
Vietnam,20,17.289891950887053
Oman,20,5.463203297119142E-5
United Arab Emirates,20,0.0
Qatar,20,0.0
Bahrain,20,0.0
Iran,20,1.8712635605830739
Kuwait,20,0.0
Azerbaijan,20,1.4027476915109747
Armenia,20,0.3647241879021072
Georgia,20,3.2605039345103473
Turkey,20,11.739535882606834
Cyprus,20,0.1510945986440077
Israel,20,0.038802782383288895
Jordan,20,0.003360313345949038
Saudi Arabia,20,7.160309655761718E-6
West Bank,20,7.927899048265442E-4
West Bank,20,0.0
Iraq,20,0.02708327173099532
Syria,20,0.12920611176384933
Lebanon,20,0.08018128026503142
Syria,20,5.2770419948730465E-5
Syria,20,0.002458565514391662
Israel,20,3.394121676264745E-6
Syria,20,1.1509485741364144E-4
Syria,20,4.509938537597656E-7
Yemen,20,0.0010420550670776373
Australia,20,51.07825048409508
Cuba,20,4.1588784407425345
Antigua & Barbuda,20,0.02005198406990208
St Kitts & Nevis,20,0.013560282158834739
Dominica,20,0.06772946459873302
Trinidad & Tobago,20,0.39179909747237673
Grenada,20,0.027985982735903102
Saint Lucia,20,0.05117932599452267
St Vincent & the Grenadines,20,0.027600065855395466
Barbados,20,0.005612442109916111
Dominican Republic,20,2.7142655416486807
Haiti,20,0.9522538650747845
Jamaica,20,0.785521624423632
Cuba,20,2.1287050658181598E-4
Turkmenistan,20,0.016101937726980847
Kyrgyzstan,20,0.8187736118180158
Kazakhstan,20,4.91674817258758
Tajikistan,20,0.10867519197703387
Uzbekistan,20,0.16962287992626923
Mauritius,20,0.11138510221593516
Seychelles,20,0.008002679925211868
Mexico,20,58.29852276623982
United States,20,117.49931110199213
"Bahamas, The",20,0.3137929844240349
Canada,20,174.33382290017772
Canada,20,0.04473495050262715
United States,20,62.1980570029779
Canada,20,136.11911667995878
Canada,20,22.300722639201034
Canada,20,0.0
Canada,20,0.0
Canada,20,49.75240727698673
Canada,20,58.829246812010645
United States,20,44.75163997193862
United States,20,18.108382423482155
Bolivia,20,65.59842485121241
Chile,20,18.494772605905542
Paraguay,20,26.0038421948708
Argentina,20,41.64014311864562
Uruguay,20,1.7848873217477155
Ecuador,20,19.345404911877083
Venezuela,20,57.62190014471655
Suriname,20,13.88790578567147
Guyana,20,19.115113554315858
Colombia,20,82.91458566146284
Peru,20,78.54233108379154
Brazil,20,533.3126712831902
El Salvador,20,1.0677770445213126
Guatemala,20,7.967822746476242
Panama,20,5.776113003268176
Costa Rica,20,3.9939757347977767
Nicaragua,20,8.078703315620004
Honduras,20,8.073086124847872
Belize,20,1.7691417052870173
