country,threshold,area
Niger,30,2.3564566162109374e-06
Sudan,30,0.02103143463888352
Libya,30,0.006854371551472958
Tunisia,30,0.22615564813051953
Egypt,30,0.15444211654922796
Eritrea,30,4.404414270019531e-06
Ethiopia,30,12.04297915189026
Djibouti,30,8.74137451171875e-08
Somalia,30,0.09082484767970839
Kenya,30,3.307412454603072
Uganda,30,7.763072078160068
Tanzania,30,26.3948035692686
Mozambique,30,28.883932203071883
Comoros,30,0.13442047036952753
Madagascar,30,17.113527398910563
Cabo Verde,30,0.007354259155855505
Mauritania,30,3.3233370434570366e-05
Morocco,30,0.6819317180626319
Algeria,30,1.2552056857575213
Mali,30,0.026257686375715152
Burkina Faso,30,0.00012696892027647732
Togo,30,0.55279764044926
Ghana,30,6.960560269821584
Cote d'Ivoire,30,14.891121307397038
Guinea,30,8.118185360191294
Senegal,30,0.03918674690844359
"Gambia, The",30,0.004577694690274718
Guinea-Bissau,30,1.0563585266454052
Sierra Leone,30,5.608856043595927
Liberia,30,9.389875570946092
Benin,30,0.1693673293166799
Nigeria,30,10.045836309822695
Cameroon,30,31.42805345062776
Equatorial Guinea,30,2.6485307343766253
Sao Tome & Principe,30,0.014045533401691056
Gabon,30,24.5538179201901
Rep of the Congo,30,26.514459313756966
Central African Rep,30,47.07367835559142
Dem Rep of the Congo,30,199.28287239590549
Japan,30,26.652294825020682
"Korea, South",30,5.320994491581426
"Korea, North",30,5.190666107471008
China,30,40.28783018598281
China,30,1.4793251373422858
China,30,32.416398098104494
China,30,88.83157804797169
Russia,30,93.91332038358176
Ukraine,30,11.124606247798399
Romania,30,7.926893115678138
Moldova,30,0.3577647259747384
Russia,30,86.90849494164759
Finland,30,21.464044639462426
Norway,30,11.388072001436667
Andorra,30,0.01907114516115279
Italy,30,9.31872359900593
Monaco,30,4.550902282714844e-07
Malta,30,0.00010778798187669943
San Marino,30,0.0008607924505207407
Croatia,30,2.4017113960482823
Albania,30,0.6529092441803821
Bosnia & Herzegovina,30,2.6706466233706214
Montenegro,30,0.6429577115991617
Serbia,30,2.71238319261067
Greece,30,3.6621516383479853
Macedonia,30,0.8128658797052559
Bulgaria,30,4.114451761989766
Portugal,30,2.290093665821837
Spain,30,10.99837966612056
France,30,16.810578831951897
Sweden,30,27.70761432581184
Denmark,30,0.6577865735473861
Estonia,30,2.6335965666251284
Latvia,30,3.545680226756265
Lithuania,30,2.3284444453699606
Belarus,30,9.156682704462828
Poland,30,10.465164398128017
Germany,30,12.5443834249106
Czechia,30,3.089204614083702
Slovakia,30,2.3909782022747814
Hungary,30,1.99326623156399
Slovenia,30,1.3124757123522384
Austria,30,4.344282316644013
Switzerland,30,1.5466842465550383
Liechtenstein,30,0.008888618878601307
Luxembourg,30,0.10227987470755846
