country,51 Open evergreen broadleaved,52 Closed evergreen broadleaved,61 Open deciduous broadleaved,62 Closed deciduous broadleaved,71 Open evergreen needleleaved,72 Closed evergreen needleleaved,81 Open deciduous needleleaved,82 Closed deciduous needleleaved,91 Open mixed forest,92 Closed mixed forest
Guinea,0.1229302584587313,0.6006385292959862,0.0605123562332269,21.5219708481146,0.0029271476863284,5.123987822845693e-05,0.00016038575121457346,0.0,0.1323783654792105,0.0
Senegal,0.0409312454741108,0.0013811211075339,0.002248614679559,3.427322340238653,0.0046447401663239,8.724011735239402e-08,8.317172826366459e-05,0.0,0.0869427713304974,0.0
"Gambia, The",0.0014176158712445,0.000104419031861722,0.0005326495769391577,0.3720907903470736,0.0005852058776986714,0.0,1.1314921358973606e-05,0.0,0.0030810400217209,0.0
Guinea-Bissau,0.0040112582971866,0.0093357982000419,0.0139183228865451,2.666954804634932,0.00020284769053676777,6.999404984456118e-06,1.4324394136622232e-05,0.0,0.0032544777754563,0.0
Sierra Leone,0.1007596538961566,0.9003872241953963,0.0605291870260384,5.807516091835507,2.1067398216700893e-05,6.8956292693656e-06,0.00013567939647536636,0.0,0.0008873472202056093,0.0
Liberia,0.3333417553839549,6.375989244180092,0.0405849778809003,2.6702967400022404,0.00023138013986891013,4.004240703583754e-05,0.00013997220687595664,0.0,0.0017482146426341,0.0
Benin,0.0708173823553612,0.0232338275061275,0.117455098662735,7.064928433279796,0.2483701195217758,0.0,0.0002038766501003381,1.5795703021126428e-06,0.4072281477222114,0.0
Nigeria,0.352072205099698,7.125057252430496,0.2604574953372554,27.623647561732277,0.8599866357038402,0.0002317656166965776,0.0018078011102125,0.0038739010448427,1.5002313677726686,0.0
Cameroon,0.0901808894073471,23.84619006786561,0.0402207943055497,15.011944878993567,0.0743757709693375,0.0004379026188214048,0.0009174450150155168,0.0,0.1524693560935625,0.0
Equatorial Guinea,0.0074419943013491,2.5966883786448007,0.003257738995487,0.0184342900880058,1.187758418246167e-05,5.807683400860242e-06,4.078585089187117e-05,0.0,0.0005940825335409383,0.0
