country,threshold,area_Mha
Cuba,50,3.5853451881566105
Cyprus,10,0.1812768912459349
Cyprus,20,0.1510945986440077
Cyprus,30,0.1019960698023517
Cyprus,40,0.0919538375388516
Cyprus,50,0.06138013829779
Czechia,10,3.2563533024245808
Czechia,20,3.169584913915568
Czechia,30,3.089204614083232
Czechia,40,3.023166283275076
Czechia,50,2.886637193132332
Dem Rep of the Congo,10,227.77899756038997
Dem Rep of the Congo,20,220.637565053718
Dem Rep of the Congo,30,199.28287239590628
Dem Rep of the Congo,40,186.1948429942076
Dem Rep of the Congo,50,164.48624254578357
Denmark,10,0.7573104750323493
Denmark,20,0.7024464199481856
Denmark,30,0.6577865735474716
Denmark,40,0.6213305275131107
Denmark,50,0.5565937798646963
Djibouti,10,1.4094478962019376e-05
Djibouti,20,7.004596435546874e-07
Djibouti,30,8.74137451171875e-08
Djibouti,40,8.74137451171875e-08
Djibouti,50,8.74137451171875e-08
Dominica,10,0.068211894931025
Dominica,20,0.067729464598733
Dominica,30,0.0674651323436856
Dominica,40,0.0672386827469819
Dominica,50,0.0667986625749816
Dominican Republic,10,2.87654142740527
Dominican Republic,20,2.7142655416486807
Dominican Republic,30,2.5892976110730683
Dominican Republic,40,2.459856725304085
Dominican Republic,50,2.2441254470623204
Ecuador,10,19.74826986634348
Ecuador,20,19.345404911877083
Ecuador,30,19.02725972691449
Ecuador,40,18.67868420653561
Ecuador,50,17.91872752793148
Egypt,10,0.955950617918848
Egypt,20,0.6866310461235989
Egypt,30,0.1544421165492096
Egypt,40,0.0746156654138128
Egypt,50,0.0149556974174151
El Salvador,10,1.1462031183210672
El Salvador,20,1.0677770445213126
El Salvador,30,1.0030325030288163
El Salvador,40,0.9459801560519968
El Salvador,50,0.8109761995330804
Equatorial Guinea,10,2.660897478292477
Equatorial Guinea,20,2.6561343977647374
Equatorial Guinea,30,2.648530734376626
Equatorial Guinea,40,2.643847510552789
Equatorial Guinea,50,2.627538273221824
Eritrea,10,0.0016488128279991
Eritrea,20,8.827301730957013e-05
Eritrea,30,4.404414270019531e-06
Eritrea,40,2.5932994018554686e-06
Eritrea,50,2.3341256835937497e-06
Estonia,10,2.77490262232247
Estonia,20,2.695294670287834
Estonia,30,2.633596566626709
Estonia,40,2.5766920433452323
Estonia,50,2.4599161288519484
Ethiopia,10,31.85175443750785
Ethiopia,20,19.95274085485958
Ethiopia,30,12.04297915189422
Ethiopia,40,8.967809187573568
Ethiopia,50,5.432107216723453
Fed States of Micronesia,10,0.0039021389510254
Fed States of Micronesia,20,0.003831921493743
Fed States of Micronesia,30,0.0037332453725715
Fed States of Micronesia,40,0.0036539282340945
Fed States of Micronesia,50,0.0035969262407921
Fiji,10,1.6311965067324117
Fiji,20,1.5856425397591594
Fiji,30,1.5406702383927635
Fiji,40,1.4697082038774028
Fiji,50,1.386843127583253
Finland,10,22.63564851102299
Finland,20,22.013805049406223
Finland,30,21.464044639455707
Finland,40,20.523649969392626
Finland,50,18.158943927625245
France,10,18.408277294672303
France,20,17.663135287974836
France,30,16.81057883194899
France,40,16.247884778822783
France,50,15.28956830589337
Gabon,10,25.76152717455369
Gabon,20,25.08852464275288
Gabon,30,24.55381792019013
Gabon,40,24.36545746143841
Gabon,50,24.06642894065651
"Gambia, The",10,0.4649832556191667
"Gambia, The",20,0.0781685625333358
"Gambia, The",30,0.0045776946902747
"Gambia, The",40,0.000571059000236937
"Gambia, The",50,3.648192939453125e-05
Georgia,10,3.37125693900402
Georgia,20,3.2605039345103477
Georgia,30,3.1482027505070915
Georgia,40,3.0756966479139227
Georgia,50,2.957247600639446
Germany,10,13.50044515546396
Germany,20,12.960882558746452
Germany,30,12.54438342491044
Germany,40,12.252907088037942
Germany,50,11.71529854894616
Ghana,10,18.47719098134672
Ghana,20,9.723525591484702
Ghana,30,6.960560269821585
Ghana,40,6.176927153910162
Ghana,50,4.259902962299736
Greece,10,4.791333374720248
Greece,20,4.330438647469004
Greece,30,3.66215163834696
Greece,40,3.3263476021856624
Greece,50,2.953515003875569
Grenada,10,0.0285255783541595
Grenada,20,0.0279859827359031
Grenada,30,0.0276196525561621
Grenada,40,0.0272706412985835
Grenada,50,0.0267900661533445
Guatemala,10,8.27427034077531
Guatemala,20,7.967822746476242
Guatemala,30,7.692366573224124
Guatemala,40,7.442226544180944
Guatemala,50,6.947300565383201
Guinea,10,22.58437737167438
Guinea,20,14.837502436329634
Guinea,30,8.11818536019128
Guinea,40,5.190689637635946
Guinea,50,2.1403491944848456
Guinea-Bissau,10,2.9184107806012283
Guinea-Bissau,20,2.1622802136820445
Guinea-Bissau,30,1.0563585266454052
Guinea-Bissau,40,0.7295235099524018
Guinea-Bissau,50,0.3034384728297746
Guyana,10,19.14907212625884
Guyana,20,19.115113554315855
Guyana,30,19.078828022489
Guyana,40,19.03775273124713
Guyana,50,18.98073655210052
Haiti,10,1.0705602951213262
Haiti,20,0.9522538650747844
Haiti,30,0.8594662944964381
Haiti,40,0.7749265063681186
Haiti,50,0.6560014781833147
Honduras,10,8.442419309895413
Honduras,20,8.073086124847872
Honduras,30,7.732540993535224
Honduras,40,7.419143306043069
Honduras,50,6.694701501964687
Hungary,10,2.2347429970088983
Hungary,20,2.1216155708537823
Hungary,30,1.9932662315639895
Hungary,40,1.913163808527256
Hungary,50,1.8017408729037356
Iceland,10,0.0
Iceland,20,0.0
Iceland,30,0.0
Iceland,40,0.0
Iceland,50,0.0
India,10,49.36501844922756
India,20,44.01924380000487
India,30,38.86934601698488
India,40,35.59780396096118
India,50,30.41001816392262
Indonesia,10,163.62522511761702
Indonesia,20,161.51622291446608
Indonesia,30,159.16298163850212
Indonesia,40,157.33993899512515
Indonesia,50,153.6425946997117
Iran,10,2.015430066780856
Iran,20,1.8712635605830736
Iran,30,1.7457020702110746
Iran,40,1.674045944880085
Iran,50,1.5491336690221604
Iraq,10,0.0384536335424743
Iraq,20,0.0270832717309953
Iraq,30,0.0171912572155204
Iraq,40,0.0148511695911941
Iraq,50,0.0064584160801257
Ireland,10,1.101944458189959
Ireland,20,0.9360040852159917
Ireland,30,0.8369722356845031
Ireland,40,0.7557556183864985
Ireland,50,0.6366526489579291
Israel,10,0.04806924267715974
Israel,20,0.03880617650496506
Israel,30,0.028112184963842008
Israel,40,0.023570882375292774
Israel,50,0.017030014621842542
Italy,10,10.499592767835924
Italy,20,10.015451928526833
Italy,30,9.318723599006246
Italy,40,8.898341711967804
Italy,50,8.378825068263737
Jamaica,10,0.808763727604931
Jamaica,20,0.785521624423632
Jamaica,30,0.7691417402987553
Jamaica,40,0.7542063734905129
Jamaica,50,0.7303860534056252
Japan,10,27.57113739558299
Japan,20,27.069841928320752
Japan,30,26.65229482502317
Japan,40,26.372155027171477
Japan,50,25.83932918675791
Jordan,10,0.0041652013546876
Jordan,20,0.003360313345949
Jordan,30,0.0023137956205726
Jordan,40,0.0021292810665037
Jordan,50,0.0015395667241088
Kazakhstan,10,5.967873849657345
Kazakhstan,20,4.91674817258758
Kazakhstan,30,4.227921478101633
Kazakhstan,40,3.8268276290144
Kazakhstan,50,3.1350419562800163
Kenya,10,11.073128283851348
Kenya,20,5.202348890919246
Kenya,30,3.30741245460307
Kenya,40,2.758546289606725
Kenya,50,1.8838807398251427
Kiribati,10,0.0
Kiribati,20,0.0
Kiribati,30,0.0
Kiribati,40,0.0
Kiribati,50,0.0
"Korea, North",10,5.865169649224272
"Korea, North",20,5.5229711271970325
"Korea, North",30,5.190666107474213
"Korea, North",40,4.842104529395031
"Korea, North",50,4.093025477939867
"Korea, South",10,5.719119022932742
"Korea, South",20,5.54129206537697
"Korea, South",30,5.320994491581206
"Korea, South",40,5.088252410965169
"Korea, South",50,4.479341450430525
Kuwait,10,0.0
Kuwait,20,0.0
Kuwait,30,0.0
Kuwait,40,0.0
Kuwait,50,0.0
Kyrgyzstan,10,1.0204852856123576
Kyrgyzstan,20,0.8187736118180158
Kyrgyzstan,30,0.6812759040662826
